	SScmap	SSfisher	SSlincs	SSlincs_Norm	SSpearson_corr	SSspearman_corr	SSzhang	SSzhang_Norm	Rank	Rank	Rank	Rank	Rank	Rank	Rank	Rank	sumrank								
S2S11	1.180123538	2.560872111	-0.052328359	-0.116233785	0.020567762	0.262291435	-21.99569892	1.273223389	71	17	301	271	175	36	68	24	0.223896337								
S2S2	0.258240723	-1.045044991	0.00643245	0.320705286	0.057341085	0.306785317	-23.43225806	0.185608875	110	285	205	92	133	24	69	129	0.029907792								
S13S4	1.398777367	-0.817842479	-0.109573719	-0.160606097	-0.057679641	-0.089764641	-23.52955665	1.199983843	32	263	360	288	276	322	70	31	0.877154703								
S12S2	-0.038814067	2.464706411	0.079603419	0.40517138	0.260110195	0.221127531	-25.0320197	0.300358815	206	30	108	80	19	51	71	111	0.000753701								
S17S31	0.113062979	2.2593882	0.075048096	0.398104554	0.124818405	-0.067487685	-26.41609195	0.357748868	147	60	113	83	77	297	72	103	0.017899901								
S16S5	-0.134406073	0.721231523	0.333061651	0.967426388	0.101915472	0.106185003	-26.53448276	-0.408234362	250	167	48	39	100	121	73	216	0.024781044								
S4S24	0.239988531	-4.605170186	-0.035838257	0.026339929	0.016418551	0.150246305	-28.36781609	0.535363884	116	466	273	191	182	91	74	81	0.166815758								
S3S24	1.357774849	-1.528968168	-0.040991612	-0.063710028	0.103156884	0.047071702	-30.18226601	0.407523954	37	343	281	243	99	181	75	97	0.19838056								
S3S23	1.413276836	-1.546733185	-0.004851275	0.08325934	0.143710114	0.046524357	-32.45320197	0.106259273	27	345	224	161	65	182	76	140	0.050903694								
S3S30	1.2471101	2.267859457	0.030304747	0.288654093	0.152181047	0.315270936	-33.16321839	0.20588596	57	56	173	101	60	22	77	126	0.010802837								
S2S22	0.303452481	-1.648013368	-0.053302593	-0.017528139	0.020209915	0.213793103	-35.27126437	0.657133607	104	355	304	211	177	54	78	68	0.318055341								
