Gene_Symbol	logFC	pv
F5	-2.831852279	0.0005
HNRNPK	-0.390548456	0.0005
MAPKAPK2	-0.857364921	0.0005
TNFAIP6	-2.035843191	0.0005
CD52	-0.396107875	0.0005
TMSB4X	0.106440649	0.0005
S100A4	-0.317224452	0.0005
IFITM2	-0.742687925	0.0005
ACTB	0.151683411	0.0005
CCR2	-0.718655235	0.0005
COTL1	0.311383912	0.0005
RGS10	1.387985388	0.0005
TGFBI	-0.338619097	0.0005
AIF1	1.481982029	0.0005
TALDO1	-0.372902786	0.0005
GUSB	1.459356602	0.0005
IFITM3	-0.522783747	0.0005
ITM2B	0.238870409	0.0005
HSPA8	-0.227620157	0.0005
ATP5IF1	0.971661472	0.0005
RPS27L	0.759651018	0.0005
ARHGDIB	-0.375212689	0.0005
CD48	1.210410641	0.0005
FXYD5	-0.419819773	0.0005
ACP5	1.578368924	0.0005
TREM1	-3.289844773	0.0005
PLCB1	-3.081878358	0.0005
SLC7A11	-2.500979626	0.0005
PNRC1	-0.785837074	0.0005
ARG2	-1.317952182	0.0005
SLC4A11	-3.839842268	0.0005
LMNB1	-0.97936879	0.0005
LMO2	1.316620085	0.0005
LRP10	-1.171831975	0.0005
PTGS2	-1.881829518	0.0005
IDI1	-2.17093421	0.0005
MSMO1	-1.639827495	0.0005
CYP51A1	-1.794058772	0.0005
SLC27A1	3.024852499	0.0005
ABCA7	-1.892090213	0.0005
LBR	-2.239507695	0.0005
RPL10	-0.203685211	0.0005
GPAT3	-3.011263857	0.0005
TSPAN13	-2.571688079	0.0005
GSR	-2.293016167	0.0005
ARHGAP31	-1.044204098	0.0005
ANKRD37	-2.864716922	0.0005
SRSF5	-1.066396679	0.0005
GFOD1	-2.172768871	0.0005
FCGR2B	-0.907488037	0.0005
EMILIN2	-1.178949668	0.0005
LGALS1	0.945081765	0.0005
RAN	0.535143655	0.0005
RANBP1	0.571979329	0.0005
RPS2	0.235756536	0.0005
SNRPD2	0.619748652	0.0005
PARK7	1.035205905	0.0005
CCL7	1.728029798	0.0005
MRC1	2.114190332	0.0005
SLC25A5	-0.316926538	0.0005
NME1	0.443790985	0.0005
RASGRP4	-1.409810107	0.0005
HSPE1	0.90070382	0.0005
PPIA	0.321755767	0.0005
EIF3E	-0.458200453	0.0005
IL5	-1.777348343	0.0005
SUB1	-0.505803745	0.0005
CD44	-0.80985371	0.0005
FTH1	0.330100342	0.0005
TLR4	-1.140076315	0.0005
LTB4R	-1.195001923	0.0005
DUSP1	-0.815051459	0.0005
SEC23B	-1.515703474	0.0005
SERP1	-1.063244446	0.0005
DFFA	-0.985338394	0.0005
ARF4	-0.818330483	0.0005
TMEM39A	-1.888906031	0.0005
SEC61A1	-1.174538796	0.0005
ATF4	-0.838700509	0.0005
CD80	-1.782860263	0.0005
VSIR	-0.742190903	0.0005
CCR1	-1.352543544	0.0005
LPAR1	-2.183607831	0.0005
HERPUD1	-1.725567528	0.0005
CYTIP	-1.230666718	0.0005
HDC	-2.27102343	0.0005
NFKBIA	-0.862163719	0.0005
MCEMP1	-4.169404117	0.0005
ARAP2	-2.523939904	0.0005
FLT1	-3.847732217	0.0005
PRR13	-0.726072329	0.0005
PREB	-0.983320362	0.0005
WSB1	-1.283700387	0.0005
CTSL	0.60803521	0.0005
PABPC1	-0.41350513	0.0005
EPS8	-0.911311566	0.0005
EIF3H	-0.388247153	0.0005
GPNMB	4.436138789	0.0005
MFSD11	1.908330022	0.0005
VAT1	2.762713141	0.0005
PRAM1	-2.350652107	0.0005
TMEM37	1.232313652	0.0005
PYGL	-1.627554271	0.0005
SNX20	-0.890752017	0.0005
FOXN3	-1.066729546	0.0005
NUCB2	-0.972250071	0.0005
COPE	-0.4660435	0.0005
CCR5	-0.838135094	0.0005
GORASP2	-0.948639146	0.0005
SRP72	-1.057032744	0.0005
ST3GAL1	-0.881104942	0.0005
ATP11B	-1.377543282	0.0005
SDC3	2.476388284	0.0005
STON2	-1.838709843	0.0005
PTPMT1	1.513105051	0.0005
TMSB10	-0.385709051	0.0005
CTSD	1.166443764	0.0005
ZYX	-1.300676112	0.0005
VCAN	-3.941780704	0.0005
DMKN	-3.1603861	0.0005
ECM1	0.999211978	0.0005
SAMSN1	-1.097352831	0.0005
JARID2	-0.909886486	0.0005
SEH1L	-1.12035079	0.0005
CYP27B1	-3.403064778	0.0005
TIAM1	-1.640301761	0.0005
APAF1	-1.268822634	0.0005
CD300LF	-0.829290784	0.0005
TIPARP	-1.224554882	0.0005
NDEL1	-1.28243939	0.0005
CDH23	-2.510355728	0.0005
NOCT	-0.964096942	0.0005
XBP1	-1.625633272	0.0005
TPD52	-0.404660097	0.0005
DUSP16	-1.637324193	0.0005
PPARG	2.136426338	0.0005
BTBD9	-0.643265971	0.0005
IFITM1	-3.440328469	0.0005
KCNK13	1.809215239	0.0005
CLDND1	-1.495306338	0.0005
MALT1	-1.236266233	0.0005
MIDN	-1.261641097	0.0005
SCIMP	-1.527309158	0.0005
ALCAM	-0.641980289	0.0005
ARL6IP1	0.660294311	0.0005
MET	-2.6128045	0.0005
IER3	-0.833550224	0.0005
TRIM25	1.11003125	0.0005
UAP1	-1.594019155	0.0005
LRRC4	-2.392265507	0.0005
PHLDA1	-1.213903818	0.0005
PDPN	2.840533932	0.0005
NFKBIZ	-1.552071016	0.0005
LHFPL2	2.531959668	0.0005
TARM1	-2.943534589	0.0005
GRK5	-1.248157399	0.0005
DGAT2	-4.151832645	0.0005
ARID5B	1.101963176	0.0005
ITGB7	-1.851289589	0.0005
PLAC8	-1.881561056	0.0005
PLD3	1.95862052	0.0005
NRP1	2.59280255	0.0005
ECE1	-1.43712774	0.0005
NCEH1	1.498427971	0.0005
RPS27A	-0.17225441	0.0005
ATP5MC1	0.542313656	0.0005
HEXA	0.884039899	0.0005
HP	-3.242952984	0.0005
APOE	0.298840911	0.0005
PTPN18	0.449321481	0.0005
GMFG	-1.186710362	0.0005
BOLA2	0.807333081	0.0005
MPEG1	0.619583569	0.0005
UQCC2	1.131532143	0.0005
ERP29	0.683364959	0.0005
ZFP36L1	-0.760855573	0.0005
DENND1A	0.552254807	0.0005
JAML	-6.199235557	0.0005
CYFIP1	0.783039151	0.0005
PDE4B	-1.485224753	0.0005
MPP1	1.455000989	0.0005
LMNA	0.761389336	0.0005
BAZ2B	-0.996996505	0.0005
DDX5	-0.514215375	0.0005
UBE2D3	-0.502486534	0.0005
PPP1R3B	-2.252634595	0.0005
RTP4	1.500959871	0.0005
BST2	1.300030513	0.0005
