Gene_Symbol	logFC	pv
GAS7	-1.915300402	0.00001
CHIC2	-0.774738904	0.00001
GAS6	-1.656262776	0.00001
PDPN	-0.446152842	0.00001
MAFF	-1.640865422	0.00001
APOD	-3.709881857	0.00001
TMEM50A	-0.27201891	0.00001
ITGA5	-0.868419075	0.00001
RDM1	1.214919047	0.00001
KIF13B	-1.519243339	0.00001
IGFBP4	-1.337356408	0.00001
PMP22	-0.803302444	0.00001
S100A10	-0.568027303	0.00001
ZBTB7A	-1.024922342	0.00001
ATF5	-0.908021783	0.00001
CYB5A	-0.656200377	0.00001
STAT3	-1.051416992	0.00001
ZEB1	-0.844146933	0.00001
GALNT10	1.771458309	0.00001
LAMC1	-1.022415729	0.00001
CAPG	-0.547043314	0.00001
EMP1	-0.656013472	0.00001
ERRFI1	-0.950549292	0.00001
MAP1LC3A	-0.994691347	0.00001
MYH10	1.187067175	0.00001
EYA4	2.005223198	0.00001
MFAP5	-0.518833591	0.00001
NBL1	-1.017053266	0.00001
TSC22D1	1.558830674	0.00001
CEBPB	-0.815288658	0.00001
PTGIS	-0.271352876	0.00001
CCDC80	-0.419104844	0.00001
GLUL	-1.17874801	0.00001
CTSB	-0.193634928	0.00001
NBEA	0.846976205	0.00001
NDRG2	-0.974358168	0.00001
COL16A1	1.50915619	0.00001
TXNIP	-1.953943642	0.00001
XBP1	-0.562027455	0.00001
SMIM41	-2.84808944	0.00001
RHOJ	-0.88615223	0.00001
SELENOP	-1.371204201	0.00001
JUP	-1.281445123	0.00001
PI16	-3.298958878	0.00001
NPAS3	2.10572124	0.00001
MYO10	2.126140099	0.00001
S100A16	-0.388152961	0.00001
RBMS1	-0.416839754	0.00001
CX3CL1	2.56517309	0.00001
UAP1	-1.455342891	0.00001
LTBP4	-2.069704691	0.00001
BMP4	-2.355399482	0.00001
SLC1A3	1.10190239	0.00001
LMO2	-4.102424796	0.00001
PLA1A	-1.341009923	0.00001
A4GALT	-1.898201528	0.00001
MT1A	-1.314582745	0.00001
NDUFA4L2	0.785496102	0.00001
FBLN1	-1.395196776	0.00001
MT-ND2	-0.359178224	0.00001
PRKDC	1.283658941	0.00001
CKB	-0.732262917	0.00001
RASAL2	0.647936446	0.00001
BHLHE40	-1.651768121	0.00001
MT-ND1	-0.197084681	0.00001
FXYD1	-1.180228071	0.00001
LUM	-0.462840968	0.00001
PTPRD	1.287326878	0.00001
NAV1	-0.721767913	0.00001
TGM2	-1.710838711	0.00001
CRIP2	-0.618808957	0.00001
ITGA11	1.486660634	0.00001
IL17D	-2.813647537	0.00001
TCF4	-0.672003678	0.00001
ELN	-1.677949926	0.00001
ACE	-2.527300027	0.00001
CTSL	-0.31394806	0.00001
ADAMTSL2	-3.449394135	0.00001
AHNAK2	-1.066810717	0.00001
SELENOK	-0.192347946	0.00001
LCN2	-3.829373731	0.00001
WBP1	1.065299754	0.00001
LBH	0.901315869	0.00001
DENND5B	1.653018919	0.00001
SASH1	-1.343014881	0.00001
KALRN	2.117497625	0.00001
PTPRF	1.07831665	0.00001
SMIM14	-0.61129819	0.00001
ANO4	4.805772511	0.00001
VEGFC	1.166982725	0.00001
HTRA3	-1.936659101	0.00001
OGN	0.881383688	0.00001
IGFBP6	-1.81125724	0.00001
SDC2	-0.365600976	0.00001
GPM6B	-0.526682605	0.00001
HSPG2	-0.619396064	0.00001
CYTH3	-1.159581945	0.00001
UBXN1	-0.554931153	0.00001
PREX2	-2.167065535	0.00001
CST3	-0.192018765	0.00001
TGFB3	0.897660603	0.00001
CNTLN	0.920705355	0.00001
AXL	-0.926025101	0.00001
VWA1	-3.203905497	0.00001
GRIA3	1.679933842	0.00001
CP	-2.117607041	0.00001
IFRD1	-0.813751226	0.00001
SLC10A6	-3.763572859	0.00001
CD151	-0.781641052	0.00001
SMTNL2	-3.461907691	0.00001
RGS4	4.797768574	0.00001
CTSK	0.789723537	0.00001
PHLDB1	-1.494155307	0.00001
THBS1	-1.04046779	0.00001
DDAH1	3.064331258	0.00001
PINK1	-1.799216985	0.00001
PDLIM2	-0.669525448	0.00001
GCH1	-2.325126412	0.00001
MYOF	0.722012635	0.00001
ATXN1	1.084844157	0.00001
GPC6	0.512560483	0.00001
TSHZ3	-1.22493992	0.00001
RORA	-1.257995336	0.00001
JADE1	-1.13518628	0.00001
ABI1	-0.999195624	0.00001
GDA	-2.01152637	0.00001
PCSK6	-1.370058593	0.00001
ANXA7	-0.612917073	0.00001
LTBP2	2.030541932	0.00001
BRI3	-0.441265613	0.00001
LBP	-3.615329536	0.00001
STK39	0.896870279	0.00001
BEAN1	-16.70032246	0.00001
CRIM1	1.933638798	0.00001
IFITM2	-0.250934916	0.00001
SPHK1	-1.432480767	0.00001
UGDH	-0.77273573	0.00001
ASPN	1.223725096	0.00001
PLIN2	-0.930683792	0.00001
LRRN4CL	-3.457046301	0.00001
ABI3BP	-2.551194773	0.00001
DKK3	1.642283425	0.00001
TCEA3	2.80709112	0.00001
SCARA5	-5.779132023	0.00001
ADAM10	0.799451106	0.00001
PTPRS	1.073867742	0.00001
FNDC1	1.17648287	0.00001
HAS1	-2.955644846	0.00001
ALPL	-3.102173839	0.00001
ZBTB16	-4.870619819	0.00001
ZFAND1	1.465887053	0.00001
CCN5	1.369732708	0.00001
MMP16	1.085089798	0.00001
LPL	-1.378596907	0.00001
RSRP1	-0.357356401	0.00001
DTD2	1.118094837	0.00001
HTRA1	0.951016264	0.00001
HS3ST1	-3.407669616	0.00001
PCSK5	-3.591098582	0.00001
EBF2	-0.817077155	0.00001
G0S2	-2.662763302	0.00001
SCML4	-3.463650553	0.00001
HCFC1R1	1.14627083	0.00001
TTC9	1.235185122	0.00001
MEOX1	-0.521765388	0.00001
FGL2	-2.829285143	0.00001
PDGFA	2.248175161	0.00001
UBA52	0.644102496	0.00001
SCN7A	-2.132940009	0.00001
GPSM1	0.950109755	0.00001
ADGRD1	-1.530436103	0.00001
C1QTNF2	0.860157402	0.00001
KLF9	-1.365051783	0.00001
TGFBR3	-1.450341006	0.00001
WLS	0.683901674	0.00001
PLPP3	-1.070626947	0.00001
CPQ	-1.418107882	0.00001
FGF2	-2.106036461	0.00001
PCBD2	0.920404434	0.00001
YPEL3	-1.269944975	0.00001
COL4A4	-5.834682987	0.00001
RGMB	-1.621260029	0.00001
GRK5	-1.14013452	0.00001
OLFML2B	2.046674344	0.00001
RBP1	0.713738337	0.00001
C3	-2.100441123	0.00001
RASL11B	0.855863721	0.00001
SPARCL1	-2.582394042	0.00001
SERPINE2	-1.505354662	0.00001
TMEM9	0.899670496	0.00001
MEDAG	-1.070515697	0.00001
ARNTL	-1.448247071	0.00001
PRELP	-1.999907999	0.00001
SERPING1	-1.556047589	0.00001
LSAMP	-3.228258918	0.00001
COL4A1	-0.98188088	0.00001
INSIG2	-1.406477834	0.00001
TMEM204	-2.86031895	0.00001
CRISPLD2	-2.641435019	0.00001
DPT	-0.589295808	0.00001
ADD3	-1.625007627	0.00001
SHISA4	1.69595296	0.00001
EGFR	-0.863441897	0.00001
OGFOD3	2.335013743	0.00001
PEAK1	-0.811100402	0.00001
EPDR1	1.058617231	0.00001
PPP1R13B	2.191841491	0.00001
FMO2	-3.488472563	0.00001
CTSD	0.708700243	0.00001
SEMA3C	-3.719731186	0.00001
RBMS3	-0.2108314	0.00001
GATA6	0.701436994	0.00001
SPON1	-3.060405898	0.00001
CLEC3B	-4.28647789	0.00001
LEPR	-5.48059796	0.00001
VCAN	-1.071901534	0.00001
TNXB	-3.87498038	0.00001
LHFPL6	-0.245821973	0.00001
TMEM100	-3.018911596	0.00001
DNAJB9	-1.231064855	0.00001
MAST4	-0.701254012	0.00001
FNDC3B	-0.424703317	0.00001
KMT2E	-0.81289807	0.00001
DPEP1	-2.421258518	0.00001
CERCAM	1.298137803	0.00001
PLEKHA6	-3.025879265	0.00001
PDE4B	-1.714321846	0.00001
VAMP5	0.653457124	0.00001
ARSB	1.29761088	0.00001
CPE	1.23920361	0.00001
DHRS3	0.885068155	0.00001
CPED1	-1.125178075	0.00001
MT-ND4	-0.220450609	0.00001
C7	-5.974665721	0.00001
MYO1D	1.152118776	0.00001
KCNT2	-1.361017471	0.00001
NUPR1	-0.394435654	0.00001
SPTBN1	-0.685346436	0.00001
RCN2	0.670053716	0.00001
TMBIM1	-1.519703	0.00001
GASK1B	1.901340534	0.00001
CDK8	-1.10051657	0.00001
MFAP2	0.638097801	0.00001
IL5	-2.127998058	0.00001
NFIB	-0.417645216	0.00001
FMNL2	-1.130969941	0.00001
CD55	-2.188784687	0.00001
CMKLR1	-3.718344658	0.00001
SCARB1	2.10493131	0.00001
LRP1	-1.050677528	0.00001
CELF2	-0.732055397	0.00001
AHNAK	-0.490134055	0.00001
NID1	-0.900407738	0.00001
SELENOH	3.034164501	0.00001
CNPY2	0.67385544	0.00001
AP1S1	0.95741934	0.00001
TRAF4	1.436282755	0.00001
SLC25A11	0.961865904	0.00001
IDH2	2.200993696	0.00001
MRPL40	0.686093283	0.00001
PPIA	0.201294412	0.00001
GLIPR2	0.54500889	0.00001
HMGB2	2.370892404	0.00001
COMMD3	0.677807109	0.00001
NAGK	0.888349879	0.00001
FAM89B	0.765624201	0.00001
ACTB	0.342381947	0.00001
NUP37	1.025867891	0.00001
SLC39A1	1.295828351	0.00001
FDPS	1.150908116	0.00001
DYNLL2	0.679281323	0.00001
CYP51A1	1.962850232	0.00001
RPL41	0.264930986	0.00001
KDELR2	0.825787254	0.00001
ACTN1	1.813125027	0.00001
CSRP2	1.848780397	0.00001
PRDX5	0.630104076	0.00001
RPS26	0.289384276	0.00001
DCTD	1.921187158	0.00001
ATP5MC2	0.643008774	0.00001
PPIL1	1.149054924	0.00001
NUDCD2	0.760079482	0.00001
CTHRC1	4.220943206	0.00001
CCN4	4.997563759	0.00001
SCD5	1.043279547	0.00001
PRSS23	1.333350644	0.00001
DERA	1.419104033	0.00001
ID3	0.951127936	0.00001
MIF	0.587781865	0.00001
HSD17B12	0.708164267	0.00001
RPL12	0.300496462	0.00001
PGAM1	0.609121483	0.00001
SNRPD1	0.633684809	0.00001
CCT6A	0.589185961	0.00001
TIMMDC1	0.869540328	0.00001
COX5A	0.482654858	0.00001
ALG8	0.979400463	0.00001
CYB5B	0.694304567	0.00001
RPS17	0.21632738	0.00001
MACROH2A1	0.685592004	0.00001
DCTPP1	0.966977372	0.00001
CTXN1	1.788470701	0.00001
MMAB	2.359977758	0.00001
JAG1	1.90150694	0.00001
ADGRA2	1.132400798	0.00001
TFPI2	1.570983048	0.00001
TMSB10	0.384521268	0.00001
MYDGF	0.505077934	0.00001
RPA2	2.540884575	0.00001
UCK2	1.450795749	0.00001
MAGED2	1.119050259	0.00001
ATOH8	3.027951064	0.00001
PYCARD	1.32063929	0.00001
SET	0.623444999	0.00001
DNAJC15	0.686046093	0.00001
SNRPA	0.749258259	0.00001
RPL38	0.273140868	0.00001
RPS10	0.253876221	0.00001
FUNDC2	0.658029844	0.00001
DTYMK	0.840774604	0.00001
PKM	0.599579436	0.00001
TPI1	1.061737998	0.00001
PDZRN3	0.665837605	0.00001
RPA3	1.05989505	0.00001
EEF1D	0.505051532	0.00001
TUBA1B	0.566231999	0.00001
GADD45B	0.979697411	0.00001
TMEM121	3.384666433	0.00001
SLC16A3	1.211649106	0.00001
PGK1	0.69455598	0.00001
CNIH1	0.650651986	0.00001
APRT	0.792192074	0.00001
RNASEH2A	0.885089089	0.00001
NT5DC2	2.989504637	0.00001
BUD31	0.714414071	0.00001
ABRACL	1.0946961	0.00001
CGREF1	1.964377042	0.00001
EEF1AKMT4	1.112598566	0.00001
LRR1	16.27811587	0.00001
EFNB1	1.409761834	0.00001
CKS1B	1.251992902	0.00001
PLP2	1.025155755	0.00001
MIS18A	1.763934111	0.00001
ZMYND19	1.309288475	0.00001
FKBP9	0.609362668	0.00001
LRRC59	0.5974878	0.00001
RPSA	0.228695884	0.00001
ABHD2	1.661318147	0.00001
MED9	1.035841629	0.00001
PHGDH	0.892927861	0.00001
MYOZ3	3.951470835	0.00001
COA5	0.948608843	0.00001
GINS2	3.565670959	0.00001
LMNB1	2.010031723	0.00001
CDC45	4.995668375	0.00001
MAP1A	1.288198862	0.00001
SF3B5	0.663451874	0.00001
CCDC122	2.808548589	0.00001
INAVA	3.168920238	0.00001
NME4	1.916741987	0.00001
NTPCR	1.682996156	0.00001
TIMELESS	1.745362953	0.00001
ATP5F1B	0.36338475	0.00001
CTNNBIP1	1.190713161	0.00001
SMIM20	0.74167467	0.00001
PDLIM1	0.649317589	0.00001
PSMD2	0.65825399	0.00001
SCHIP1	1.21620584	0.00001
ARL4C	1.433935705	0.00001
ABHD17C	1.247077103	0.00001
RPL27A	0.18718866	0.00001
GPX4	0.441606248	0.00001
DHRS7B	0.895799943	0.00001
NOTCH3	1.991258681	0.00001
GET1	1.350735057	0.00001
PFN1	0.267362677	0.00001
FKBP7	0.714559286	0.00001
CENPS	3.422257372	0.00001
BORCS8	1.039987562	0.00001
JPT2	1.38051828	0.00001
CAPZB	0.57464714	0.00001
CENPH	17.14576156	0.00001
PRKAR2B	2.789241458	0.00001
ODC1	0.944892796	0.00001
SH3BGRL3	0.555342785	0.00001
GMNN	4.787520831	0.00001
RAD9A	1.660251308	0.00001
VKORC1	0.814387271	0.00001
KIF26B	5.233682839	0.00001
MLF1	4.80088704	0.00001
AMMECR1	0.911027187	0.00001
SKA2	1.480341556	0.00001
MPP6	0.86171597	0.00001
SDC1	1.505835451	0.00001
NKAIN3	1.67243848	0.00001
BMPER	0.772746582	0.00001
HMGB1	0.409484288	0.00001
LMAN1	0.603326726	0.00001
RAD51B	3.472952682	0.00001
NSL1	16.23862885	0.00001
TUBB3	1.570765225	0.00001
TTYH3	2.942371356	0.00001
FLNB	0.871759055	0.00001
TRIM27	0.874361038	0.00001
RRM2	8.106971399	0.00001
CKAP2L	5.230879126	0.00001
CREB3L1	1.129076255	0.00001
TPD52	1.587498975	0.00001
POSTN	1.684189363	0.00001
COL5A2	0.779962287	0.00001
AAAS	2.158394927	0.00001
TBC1D7	1.076233654	0.00001
EDEM2	1.106414981	0.00001
MCAM	15.82813882	0.00001
LOX	1.26864199	0.00001
NCAM1	3.936715897	0.00001
KPNB1	0.814089994	0.00001
FABP5	2.895891884	0.00001
TNC	2.107175828	0.00001
RNF150	1.475279559	0.00001
FEN1	2.613536695	0.00001
UBE2S	0.576817526	0.00001
LURAP1L	1.988646575	0.00001
CREB3L3	14.80346403	0.00001
GINS1	3.312772316	0.00001
SNRPE	0.697780364	0.00001
SEC61B	0.504176925	0.00001
NUP50	1.212192407	0.00001
CITED2	1.191684502	0.00001
PDIA5	1.338775073	0.00001
PAPPA	1.494901297	0.00001
BZW2	1.130321026	0.00001
VEGFB	1.478052495	0.00001
MED29	0.810584453	0.00001
NUP210L	1.954657573	0.00001
NUP43	1.915750818	0.00001
ALG5	0.953744344	0.00001
H2BC5	1.487920457	0.00001
LXN	1.40902285	0.00001
PSMC3IP	1.999851765	0.00001
UHRF1	4.162855697	0.00001
COL12A1	2.566651099	0.00001
ADA	2.094829758	0.00001
NSG1	1.208843114	0.00001
TMTC4	3.033477273	0.00001
HMGN2	2.171329994	0.00001
ANP32B	0.423648093	0.00001
RCN1	0.853838685	0.00001
ADAM12	0.7627562	0.00001
RAN	0.506196475	0.00001
DNAAF2	1.320606817	0.00001
NCLN	0.694811808	0.00001
MRPL45	0.821761312	0.00001
RCN3	0.703455045	0.00001
MTMR2	1.009054897	0.00001
HSP90B1	0.448579651	0.00001
RPGRIP1	1.51042789	0.00001
DDIAS	15.14304957	0.00001
TAGLN2	0.410084114	0.00001
SPARC	0.312687863	0.00001
RANGAP1	0.847892243	0.00001
MMS22L	4.635221501	0.00001
SLC38A4	2.496161696	0.00001
HJURP	1.058726983	0.00001
ULBP1	4.426189688	0.00001
CXCL5	2.014337506	0.00001
PPP1R7	0.921593927	0.00001
RAP1GDS1	0.876511275	0.00001
ORC6	1.480780434	0.00001
RPS27L	0.438721752	0.00001
HSPD1	0.517046228	0.00001
NUDCD1	0.950006657	0.00001
PRIM1	2.597660547	0.00001
PLK4	1.873758207	0.00001
DNMT1	2.711992267	0.00001
HMGN3	1.028903763	0.00001
TMEM70	0.764987251	0.00001
GNG2	1.396602863	0.00001
ZNF414	1.098894733	0.00001
SRPX2	0.732124449	0.00001
COL5A1	0.928639683	0.00001
EXO1	5.174326451	0.00001
RPL39	0.325433883	0.00001
ISG15	1.589719501	0.00001
CASP8	1.204413087	0.00001
PBDC1	0.777416853	0.00001
ACTA2	3.999265611	0.00001
RBBP7	0.708440268	0.00001
TRO	2.056531405	0.00001
VIM	0.425341926	0.00001
CAV1	1.49290522	0.00001
RBM15	1.614310601	0.00001
RPL22	0.328246955	0.00001
MYL6	0.313544591	0.00001
APBB2	1.458452791	0.00001
BAIAP2	0.965376691	0.00001
NEXN	1.615214796	0.00001
NPM1	0.49927739	0.00001
EIF2AK2	0.853812816	0.00001
HMCES	1.236048301	0.00001
ME2	1.6471324	0.00001
UQCRFS1	0.683344043	0.00001
LCORL	1.230816377	0.00001
UBR7	1.200835548	0.00001
ACTG1	0.305592972	0.00001
SCOC	0.892577067	0.00001
MYH9	0.742054338	0.00001
DEK	0.776839452	0.00001
PPIB	0.318797954	0.00001
HIF1A	0.871613369	0.00001
NQO2	1.143454381	0.00001
LSMEM1	3.252359291	0.00001
HMGA2	3.980583775	0.00001
APEX1	0.782725008	0.00001
NXT1	0.942714584	0.00001
CALM1	0.298606184	0.00001
CLCN5	1.291597792	0.00001
MAP1B	0.90000887	0.00001
AARS1	0.703811595	0.00001
ELL2	1.728049131	0.00001
EID1	0.786070099	0.00001
RASL11A	3.086350119	0.00001
PRELID1	0.835150816	0.00001
PYCR1	1.17201359	0.00001
ENPP1	1.498973747	0.00001
PCNA	1.236813208	0.00001
ASS1	1.716865424	0.00001
VMP1	0.537697682	0.00001
MAPK11	1.400592657	0.00001
PWWP3B	4.382913007	0.00001
CEP290	1.459898488	0.00001
COX18	0.76717906	0.00001
RNF19B	1.371435763	0.00001
PPIC	1.026450463	0.00001
INSIG1	1.005489637	0.00001
PRRX1	1.024470784	0.00001
CENPP	4.162903931	0.00001
COL1A1	1.106983527	0.00001
FDFT1	1.659703646	0.00001
SLIT2	1.775295536	0.00001
TLCD1	1.247066167	0.00001
PF4	1.425202087	0.00001
LSM3	1.032830379	0.00001
CEP78	1.517311819	0.00001
ENY2	0.645704107	0.00001
TPM4	0.36871877	0.00001
DDB1	0.76438602	0.00001
LGALS1	0.248182942	0.00001
ENO1	1.058346088	0.00001
GSTO1	1.242332085	0.00001
TMEM192	1.116677354	0.00001
NUCKS1	0.708757154	0.00001
TCEAL9	0.620800914	0.00001
EFCAB11	2.799740116	0.00001
FOXP1	1.402087077	0.00001
CBX1	0.651608171	0.00001
TMPO	1.538787634	0.00001
LSM6	0.72991745	0.00001
EVL	1.554862677	0.00001
FLNA	0.773706385	0.00001
PMF1	2.124019232	0.00001
TMEM158	1.225353037	0.00001
C1QTNF12	0.761349643	0.00001
RUVBL2	0.652264205	0.00001
KIF11	15.51085798	0.00001
GCSH	0.765509676	0.00001
POFUT2	0.687323119	0.00001
UBE2L3	0.611046803	0.00001
CDK6	1.184912204	0.00001
PARP1	2.023447796	0.00001
SNRNP25	1.629442722	0.00001
NECTIN2	3.618195184	0.00001
ALG13	1.235816977	0.00001
FILIP1L	0.727637574	0.00001
NANOS1	15.13849283	0.00001
DCBLD1	2.340232894	0.00001
CASP3	1.959586553	0.00001
MFSD10	1.039487478	0.00001
SYCE2	3.470581999	0.00001
H2AZ1	1.21279682	0.00001
ESRRG	2.730903021	0.00001
GEMIN2	1.377567771	0.00001
SMC4	1.92102205	0.00001
PLAC8	3.179654105	0.00001
STBD1	1.322604139	0.00001
RANBP1	0.409040773	0.00001
SC5D	1.170895915	0.00001
METRNL	0.837594737	0.00001
P4HA3	3.5591211	0.00001
TUBB2B	1.663592555	0.00001
RAD18	1.95244197	0.00001
NDUFAF2	0.841718917	0.00001
RANBP17	3.086442547	0.00001
UFSP2	0.934836664	0.00001
RHOD	1.890079584	0.00001
G6PC3	1.030328197	0.00001
ASNSD1	1.208353348	0.00001
OTUB1	0.964501088	0.00001
CTSC	1.518053395	0.00001
STEAP2	2.293957025	0.00001
RAB13	0.957880606	0.00001
ARL6IP6	1.646928032	0.00001
GALK1	0.902516907	0.00001
SERPINH1	0.386221079	0.00001
MYL9	4.594788122	0.00001
RUNX1	2.377325872	0.00001
DDX18	0.866618866	0.00001
LOXL2	1.176876011	0.00001
RAC3	3.347094036	0.00001
GLOD4	1.063934446	0.00001
LIG1	3.844388638	0.00001
RACK1	0.360282698	0.00001
FHL2	0.80494263	0.00001
GMPPB	0.652588508	0.00001
MAGED1	1.176568046	0.00001
NUDT19	0.701524078	0.00001
PAFAH1B3	2.454928423	0.00001
CENPI	15.18259882	0.00001
PLA2G15	1.36088163	0.00001
YDJC	3.524391617	0.00001
KCNQ5	4.031951491	0.00001
SOX4	1.276784001	0.00001
HSPB11	1.31531362	0.00001
RBBP8	0.851783513	0.00001
ECT2	14.92657391	0.00001
COPZ2	0.815541805	0.00001
MS4A7	4.935190643	0.00001
FMN1	3.110762564	0.00001
LYRM2	0.830582964	0.00001
ANGPTL4	-0.526272003	0.00001
CDCA7	2.443834521	0.00001
CAMK2G	1.015751709	0.00001
SERF2	0.325268492	0.00001
MYL12A	0.377501051	0.00001
FBXO36	1.556790369	0.00001
CBX3	1.268692154	0.00001
RFC2	1.5542942	0.00001
USP14	0.726901735	0.00001
LTA4H	0.805615173	0.00001
S100A11	0.391683594	0.00001
DIO3	15.93687499	0.00001
MACROH2A2	1.940907347	0.00001
CSMD1	2.151095243	0.00001
ECHDC2	2.261818389	0.00001
THYN1	1.020466154	0.00001
EEF1B2	0.530822901	0.00001
STEAP1	3.708809475	0.00001
CDH2	3.887214217	0.00001
EEF1AKMT1	0.798646935	0.00001
IGF2R	1.133919358	0.00001
PRDX1	0.263915458	0.00001
FHL3	1.995659179	0.00001
GART	0.631893078	0.00001
NECTIN3	0.893987349	0.00001
CSRP1	1.71848178	0.00001
MRPL34	0.902555955	0.00001
REST	1.077903306	0.00001
BEND6	1.340834144	0.00001
SDHC	0.663280156	0.00001
LSM2	0.62467879	0.00001
GOLT1B	0.975145903	0.00001
TRAPPC1	0.755218934	0.00001
MRPS16	0.733224668	0.00001
PALLD	3.175112847	0.00001
HDLBP	0.559439426	0.00001
NAP1L1	0.853049788	0.00001
XPO1	1.256412474	0.00001
THY1	3.434385866	0.00001
NUP93	0.971874877	0.00001
AMPD2	0.875506034	0.00001
HNRNPA1	0.663934722	0.00001
C1QTNF6	1.829768202	0.00001
RFC1	1.186863992	0.00001
STARD13	0.905234118	0.00001
MCM7	3.311906419	0.00001
LOXL3	3.001087628	0.00001
NSUN7	4.877648756	0.00001
ASNS	1.043843949	0.00001
TIMM17B	0.741687253	0.00001
MPZL1	1.032830854	0.00001
SSR2	0.68501512	0.00001
MEGF11	3.909993325	0.00001
SNRPF	0.522349057	0.00001
TMEM97	1.65910967	0.00001
CIAO2A	1.11888493	0.00001
PTMA	0.198636747	0.00001
PHLDB2	2.383414312	0.00001
HAUS6	3.048690292	0.00001
MAPK14	0.995997264	0.00001
INCENP	3.734715457	0.00001
CENPK	4.872951837	0.00001
MCM6	3.256535827	0.00001
TAGLN	3.132841152	0.00001
MTAP	0.984804984	0.00001
RFC4	2.203548479	0.00001
INPPL1	1.332913876	0.00001
DDX39B	0.68086447	0.00001
TPM2	2.520966764	0.00001
TALDO1	0.679020787	0.00001
PITRM1	0.934363242	0.00001
ATP5PO	0.727684662	0.00001
HMGB3	3.631979642	0.00001
FKBP10	1.167962846	0.00001
COL1A2	0.882992452	0.00001
COMTD1	1.313235956	0.00001
TMEM14C	0.674324417	0.00001
MCM5	4.792904791	0.00001
PSMD6	0.725293435	0.00001
TCEAL8	0.699411492	0.00001
REEP5	0.667657343	0.00001
MCM3	3.66625453	0.00001
TOP1MT	1.528770878	0.00001
OGFR	0.784959578	0.00001
CCNB1IP1	2.518441295	0.00001
TGFB2	1.067002092	0.00001
TADA2A	1.195689547	0.00001
CSTB	0.602343387	0.00001
HP	2.874686747	0.00001
TRMT2A	1.018849418	0.00001
GPR180	0.714210875	0.00001
ATP5ME	0.631677678	0.00001
FANCD2	15.17687155	0.00001
MRPL44	1.05105732	0.00001
ALAD	1.130074237	0.00001
TBCD	0.999863289	0.00001
CENPT	1.661152136	0.00001
CCDC58	0.768102198	0.00001
FAP	1.222830456	0.00001
RBPMS2	1.435025135	0.00001
PTK7	1.158487744	0.00001
TMCO1	0.818899326	0.00001
LGALS3	2.080849104	0.00001
NUDT14	2.248808084	0.00001
TRIM28	0.722193742	0.00001
MYLK	2.522267567	0.00001
CDH3	16.64554294	0.00001
CDCA8	4.933301317	0.00001
UNG	4.804119322	0.00001
MVK	1.413391494	0.00001
HAUS7	2.414471837	0.00001
CALR	0.307111909	0.00001
OSTC	0.56656803	0.00001
TSKU	1.297453283	0.00001
ACAT2	1.849523	0.00001
MFSD1	0.883476356	0.00001
E2F1	3.286618862	0.00001
TMEM176B	1.773906288	0.00001
HDAC2	0.750325302	0.00001
EIF3D	0.679025028	0.00001
