Gene_Symbol	logFC	pv
DDX5	-0.514215375	0.00001
MERTK	2.956216371	0.00001
SVIL	-1.019046814	0.00001
STK17B	-1.128645225	0.00001
DNAJB11	-0.650687538	0.00001
ELK4	-1.847952753	0.00001
SNX18	-0.967882298	0.00001
FAM107B	-0.805842158	0.00001
GLUL	0.939868488	0.00001
STAT3	-0.834825255	0.00001
ELF4	-1.349184854	0.00001
ST3GAL4	-2.335963172	0.00001
MSRB1	-0.877679697	0.00001
SRP9	-0.491303792	0.00001
FKBP2	0.518995661	0.00001
F5	-2.831852279	0.00001
HNRNPK	-0.390548456	0.00001
MAPKAPK2	-0.857364921	0.00001
TNFAIP6	-2.035843191	0.00001
PIM1	-0.646031725	0.00001
C1QC	3.065084827	0.00001
MCL1	-0.804548998	0.00001
GLIPR2	-1.516197988	0.00001
RBBP6	-0.869342398	0.00001
TALDO1	-0.372902786	0.00001
FXYD5	-0.419819773	0.00001
TREM1	-3.289844773	0.00001
PLCB1	-3.081878358	0.00001
SLC7A11	-2.500979626	0.00001
C1QB	3.021746879	0.00001
CXCL16	2.86429213	0.00001
SLC25A5	-0.316926538	0.00001
NPM1	0.41729966	0.00001
SNRPD2	0.619748652	0.00001
TLR2	-1.550079115	0.00001
PNRC1	-0.785837074	0.00001
ARG2	-1.317952182	0.00001
SLC4A11	-3.839842268	0.00001
LMNB1	-0.97936879	0.00001
LMO2	1.316620085	0.00001
LRP10	-1.171831975	0.00001
PTGS2	-1.881829518	0.00001
PTPN1	-1.008129017	0.00001
ERP29	0.683364959	0.00001
DTNBP1	0.888992222	0.00001
REX1BD	1.027950912	0.00001
GMFG	-1.186710362	0.00001
MTLN	1.570969402	0.00001
BAZ1A	-0.914135431	0.00001
IDI1	-2.17093421	0.00001
MSMO1	-1.639827495	0.00001
CYP51A1	-1.794058772	0.00001
SLC27A1	3.024852499	0.00001
ABCA7	-1.892090213	0.00001
LBR	-2.239507695	0.00001
RPL10	-0.203685211	0.00001
GPAT3	-3.011263857	0.00001
TSPAN13	-2.571688079	0.00001
GSR	-2.293016167	0.00001
ARHGAP31	-1.044204098	0.00001
ANKRD37	-2.864716922	0.00001
SRSF5	-1.066396679	0.00001
GFOD1	-2.172768871	0.00001
CNDP2	0.415731743	0.00001
PDE4D	1.844448888	0.00001
TMEM106A	1.49508979	0.00001
NAA20	0.991916164	0.00001
ENTPD1	-1.102429246	0.00001
UAP1L1	2.218668095	0.00001
CD84	1.292519526	0.00001
SDCBP	0.421466927	0.00001
FCGR2B	-0.907488037	0.00001
EMILIN2	-1.178949668	0.00001
RASGEF1B	2.214159177	0.00001
MRPS33	0.791088461	0.00001
PARK7	1.035205905	0.00001
CCL7	1.728029798	0.00001
MRC1	2.114190332	0.00001
RASGRP4	-1.409810107	0.00001
EIF3E	-0.458200453	0.00001
FTH1	0.330100342	0.00001
RBM39	-0.368575421	0.00001
MITF	0.895488603	0.00001
GRK5	-1.248157399	0.00001
IL5	-1.777348343	0.00001
SUB1	-0.505803745	0.00001
ICAM1	-1.117039067	0.00001
NUPR1	-0.800802466	0.00001
CLEC4E	-1.68931808	0.00001
HDAC9	2.484619451	0.00001
LHFPL2	2.531959668	0.00001
DHRS3	1.812879263	0.00001
CD44	-0.80985371	0.00001
CTSL	0.60803521	0.00001
DAB2	0.737697183	0.00001
TLR4	-1.140076315	0.00001
LTB4R	-1.195001923	0.00001
DUSP1	-0.815051459	0.00001
CD63	2.485928908	0.00001
PKIB	1.699996505	0.00001
FDX2	2.072709138	0.00001
KDM6B	-1.432679383	0.00001
LSMEM1	-1.44913592	0.00001
ADGRE1	0.877952704	0.00001
SASH1	1.863426112	0.00001
SEC23B	-1.515703474	0.00001
SERP1	-1.063244446	0.00001
DFFA	-0.985338394	0.00001
ARF4	-0.818330483	0.00001
TMEM39A	-1.888906031	0.00001
SEC61A1	-1.174538796	0.00001
ATF4	-0.838700509	0.00001
CSTB	0.685278582	0.00001
CAPG	0.541519998	0.00001
RBM3	-0.440514024	0.00001
EFHD2	0.459470008	0.00001
CD80	-1.782860263	0.00001
VSIR	-0.742190903	0.00001
CCR1	-1.352543544	0.00001
NDUFS5	0.74693034	0.00001
LPAR1	-2.183607831	0.00001
HERPUD1	-1.725567528	0.00001
CYTIP	-1.230666718	0.00001
IL37	2.865999967	0.00001
HDC	-2.27102343	0.00001
PSAP	0.106761558	0.00001
GRN	1.208673908	0.00001
TRAPPC2L	1.092332994	0.00001
POLR2E	1.116690508	0.00001
NFKBIA	-0.862163719	0.00001
MCEMP1	-4.169404117	0.00001
CD72	4.288363279	0.00001
MRPL23	1.104888441	0.00001
NRP2	3.235415283	0.00001
ARAP2	-2.523939904	0.00001
FLT1	-3.847732217	0.00001
PRR13	-0.726072329	0.00001
PREB	-0.983320362	0.00001
WSB1	-1.283700387	0.00001
CCL4	1.029995703	0.00001
SPI1	-0.360414138	0.00001
PABPC1	-0.41350513	0.00001
EPS8	-0.911311566	0.00001
EIF3H	-0.388247153	0.00001
GPNMB	4.436138789	0.00001
MFSD11	1.908330022	0.00001
VAT1	2.762713141	0.00001
PRAM1	-2.350652107	0.00001
TMEM37	1.232313652	0.00001
COX7A2L	-0.649695097	0.00001
PLAC8	-1.881561056	0.00001
ATP5ME	0.955344198	0.00001
PEBP1	0.667550368	0.00001
NCF4	-0.786515815	0.00001
MGAT5	0.941923563	0.00001
GCH1	-1.425481023	0.00001
CYBB	-1.261853707	0.00001
GCNT2	-1.273654414	0.00001
IRF8	1.048025769	0.00001
DCLRE1C	1.313167889	0.00001
NFKBID	-1.257171171	0.00001
SNX29	2.809559958	0.00001
PYGL	-1.627554271	0.00001
SNX20	-0.890752017	0.00001
FOXN3	-1.066729546	0.00001
RAB7B	1.186605541	0.00001
RGS1	2.694513995	0.00001
ALCAM	-0.641980289	0.00001
PTPN18	0.449321481	0.00001
TPP1	1.354598449	0.00001
NUCB2	-0.972250071	0.00001
COPE	-0.4660435	0.00001
CCR5	-0.838135094	0.00001
SLC9A9	1.073987748	0.00001
PARP1	2.153221719	0.00001
TXNDC17	0.650603823	0.00001
ATP5MC2	0.845149463	0.00001
NR4A1	-0.683591232	0.00001
GORASP2	-0.948639146	0.00001
SRP72	-1.057032744	0.00001
ST3GAL1	-0.881104942	0.00001
ATP11B	-1.377543282	0.00001
SORL1	-2.138846461	0.00001
TGFB1	-0.898264854	0.00001
ATP6V0E1	0.618414584	0.00001
PDLIM4	2.635222507	0.00001
ALAS1	-1.755697453	0.00001
GADD45B	-0.779829137	0.00001
SDC3	2.476388284	0.00001
STON2	-1.838709843	0.00001
RNASE4	1.970592716	0.00001
PHLDA1	-1.213903818	0.00001
LSP1	-0.61893054	0.00001
BHLHE40	-1.267063993	0.00001
DMKN	-3.1603861	0.00001
LPL	2.415174659	0.00001
PDCD10	-0.600971561	0.00001
SNX8	1.963211482	0.00001
DNASE2	2.055723234	0.00001
LGALS3BP	2.171272178	0.00001
SPAG9	-0.452469425	0.00001
LAMP1	0.323796413	0.00001
FOS	-0.580083205	0.00001
PTPMT1	1.513105051	0.00001
TMSB10	-0.385709051	0.00001
ZYX	-1.300676112	0.00001
VCAN	-3.941780704	0.00001
OCSTAMP	-3.537823429	0.00001
CD81	1.941916853	0.00001
NAB1	-1.167810109	0.00001
MALT1	-1.236266233	0.00001
VPS29	1.017274431	0.00001
LYN	-0.648891033	0.00001
ECE1	-1.43712774	0.00001
IFNGR1	-0.671987319	0.00001
ABTB2	-0.845991285	0.00001
LAIR1	1.26599775	0.00001
ZFP36	-0.806378017	0.00001
TMEM86A	2.073254334	0.00001
SAMSN1	-1.097352831	0.00001
JARID2	-0.909886486	0.00001
SEH1L	-1.12035079	0.00001
NAPSA	-1.897786383	0.00001
LRRFIP1	-1.231289443	0.00001
ID3	-1.821409084	0.00001
IL1B	-1.758437498	0.00001
PFDN1	0.962632086	0.00001
CYP27B1	-3.403064778	0.00001
TIAM1	-1.640301761	0.00001
MYCBP2	-0.905069172	0.00001
APAF1	-1.268822634	0.00001
CD300LF	-0.829290784	0.00001
TIPARP	-1.224554882	0.00001
NDEL1	-1.28243939	0.00001
CDH23	-2.510355728	0.00001
NOCT	-0.964096942	0.00001
XBP1	-1.625633272	0.00001
TPD52	-0.404660097	0.00001
DUSP16	-1.637324193	0.00001
PPARG	2.136426338	0.00001
BTBD9	-0.643265971	0.00001
IFITM1	-3.440328469	0.00001
KCNK13	1.809215239	0.00001
CLDND1	-1.495306338	0.00001
GBA	1.579872896	0.00001
AHNAK	-0.550132968	0.00001
BAX	0.879437884	0.00001
EBPL	2.043285259	0.00001
CUTA	1.025310563	0.00001
VASP	-1.103033176	0.00001
MET	-2.6128045	0.00001
CALM1	0.208931163	0.00001
SYNGR1	7.646958577	0.00001
SARNP	-0.537174431	0.00001
RBX1	0.497996214	0.00001
ADORA3	-3.975232665	0.00001
KDM2A	-1.109411704	0.00001
TCF7L2	-1.344618583	0.00001
MIDN	-1.261641097	0.00001
SCIMP	-1.527309158	0.00001
UQCRH	-0.39174484	0.00001
SLC16A10	1.240427042	0.00001
LCN2	-4.509252786	0.00001
ARL6IP1	0.660294311	0.00001
EIF3F	-0.450895845	0.00001
EML4	-1.404934278	0.00001
DNAJA1	-0.539256206	0.00001
BTG2	-1.439028886	0.00001
SPINT1	-2.692267828	0.00001
PDE4B	-1.485224753	0.00001
IER3	-0.833550224	0.00001
TRIM25	1.11003125	0.00001
UAP1	-1.594019155	0.00001
LRRC4	-2.392265507	0.00001
PDPN	2.840533932	0.00001
NFKBIZ	-1.552071016	0.00001
TRA2B	-0.725413363	0.00001
HEBP1	3.772336303	0.00001
IRF1	-1.06899773	0.00001
TARM1	-2.943534589	0.00001
DGAT2	-4.151832645	0.00001
ARID5B	1.101963176	0.00001
ITGB7	-1.851289589	0.00001
PLD3	1.95862052	0.00001
NRP1	2.59280255	0.00001
NCEH1	1.498427971	0.00001
FAM3C	2.319251214	0.00001
SERTAD1	-0.915736957	0.00001
MED7	-1.706155851	0.00001
ETV6	-0.704823966	0.00001
NLRP3	-1.457546543	0.00001
SOCS3	-1.337516786	0.00001
HP	-3.242952984	0.00001
FMNL2	1.229359757	0.00001
ZFP36L1	-0.760855573	0.00001
JAML	-6.199235557	0.00001
CYFIP1	0.783039151	0.00001
MPP1	1.455000989	0.00001
AMDHD2	2.507644872	0.00001
TRAF1	-1.475142897	0.00001
LMNA	0.761389336	0.00001
JUN	-0.845406283	0.00001
IER2	-1.780588982	0.00001
MRPL42	1.4935214	0.00001
SUMO3	1.032950007	0.00001
BAZ2B	-0.996996505	0.00001
MMP14	1.353862083	0.00001
FABP5	1.892250573	0.00001
C3	-1.94546655	0.00001
TMEM176B	-1.856350195	0.00001
UBE2D3	-0.502486534	0.00001
PPP1R3B	-2.252634595	0.00001
AHR	-1.529538799	0.00001
ATP5MF	0.463343919	0.00001
FAM20C	2.569768336	0.00001
RTP4	1.500959871	0.00001
BST2	1.300030513	0.00001
SELL	-5.826295795	0.00001
STX11	-1.54904302	0.00001
CHMP4B	-0.60209047	0.00001
NPC2	0.2614017	0.00001
RNF149	-0.798554961	0.00001
KDM7A	-1.088953947	0.00001
TIMM13	0.815798649	0.00001
GLTP	0.961432238	0.00001
MED28	0.775838648	0.00001
C1QBP	1.517629051	0.00001
COA3	0.842719803	0.00001
HS3ST3B1	-3.704920663	0.00001
IDH2	1.766714564	0.00001
ANXA5	0.791272832	0.00001
TXNRD1	-0.95260171	0.00001
PKD2L1	-1.466459025	0.00001
PLA1A	-2.7643442	0.00001
NR4A3	-1.620516476	0.00001
H2AJ	-0.609982285	0.00001
ETF1	-0.585954636	0.00001
AP1B1	3.308691493	0.00001
BOLA3	1.727003834	0.00001
H3-3B	-0.324102051	0.00001
CLCF1	-3.074930189	0.00001
GGH	-0.630477239	0.00001
DPY30	1.270794031	0.00001
PTPRC	-0.901610685	0.00001
RAC2	-0.483049698	0.00001
TUBB2A	2.693663678	0.00001
TIMP2	3.640596702	0.00001
NSF	-0.85873863	0.00001
SMPDL3A	-1.125154101	0.00001
ARHGAP24	1.158571932	0.00001
CEBPA	1.623770889	0.00001
FRMD4B	2.751479236	0.00001
ZFAND2A	2.21013352	0.00001
PITPNA	-0.421293445	0.00001
OLFML3	3.332936442	0.00001
NFIL3	-1.200643014	0.00001
CEACAM1	-2.068369608	0.00001
MAP1LC3A	-1.282964019	0.00001
ARHGAP10	2.695116421	0.00001
KLF3	-0.954439918	0.00001
SIPA1L1	-1.601911825	0.00001
VPS37B	-0.889688258	0.00001
OSBPL8	0.998015524	0.00001
MRPL33	-0.708114467	0.00001
ATRNL1	-1.863781529	0.00001
HTR7	-4.411075126	0.00001
FNDC3B	-0.82170871	0.00001
SSR1	-0.637091889	0.00001
NFAM1	-1.234098154	0.00001
GPR132	-1.758087736	0.00001
EMB	-1.375864347	0.00001
SGPL1	1.528031769	0.00001
PI16	-1.49463414	0.00001
CAMK1	1.442056179	0.00001
NUDCD2	2.231443476	0.00001
TSPAN4	3.551018967	0.00001
ABHD12	1.81220033	0.00001
